X_ACC,Y_ACC,Z_ACC,X_GYRO,Y_GYRO,Z_GYRO,X_GRAVITY,Y_GRAVITY,Z_GRAVITY,X_MF,Y_MF,Z_MF,X_GMRV,Y_GMRV,Z_GMRV,TIME,LABEL
1.4923689,0.11149597,-0.5896837,0.052534413,-0.016340645,0.004428773,-0.13201465,-9.79854,0.45528442,-18.580599,41.297,11.2484,-0.61287224,0.31809196,-0.32453457,17:29:36,Slow
1.1402133,-0.3034544,-0.3812053,0.017104227,0.059253927,0.006872234,-0.10384217,-9.799994,0.4306422,-19.007599,41.4678,11.4436,-0.6136077,0.3171825,-0.32541993,17:29:37,Slow
0.47550136,0.018993378,-0.3198025,-0.014049901,0.07666359,0.023060163,-0.0017646898,-9.802739,0.37737843,-18.8246,41.7728,11.2484,-0.6183665,0.31117573,-0.32444066,17:29:37,Slow
0.8646218,-0.07074833,-0.5820286,-0.036651913,0.010079277,-0.021380283,0.020898242,-9.804563,0.32592323,-18.2024,41.6996,11.955999,-0.6229662,0.30559406,-0.32045162,17:29:37,Slow
0.42776006,0.017101288,-0.523071,-0.020158553,-0.0070249503,0.0036651916,0.17014667,-9.800543,0.39562643,-17.9828,41.370197,12.480599,-0.6292685,0.2973321,-0.31801027,17:29:37,Slow
0.775364,0.07080841,-0.771805,-0.23823744,0.12003502,-0.17134771,0.23586528,-9.798649,0.4086131,-20.069,39.4792,14.8474,-0.6373394,0.2788394,-0.31523,17:29:38,Slow
1.4472251,0.20961761,-0.61765766,-0.15057829,-0.22006421,-0.7796168,0.23971012,-9.7989645,0.3986708,-22.6188,38.064,15.4818,-0.6434106,0.26560113,-0.3126037,17:29:38,Slow
1.2008255,0.07622719,-0.62700844,0.17073683,-0.17837265,-0.032528576,0.19154339,-9.800697,0.38177174,-22.997,38.1982,15.0792,-0.64945555,0.26118007,-0.30574188,17:29:38,Slow
0.60208726,0.019186974,-0.94385266,0.06536258,-0.2527455,-0.024587326,0.23630704,-9.790203,0.5763686,-23.057999,37.6614,15.9576,-0.65175587,0.2583177,-0.30557713,17:29:38,Slow
0.69296944,-0.0013751984,-0.86565423,-0.020158553,-0.22311853,-0.016646078,0.49974808,-9.76181,0.8327248,-23.0702,37.271,16.2748,-0.65682524,0.24811119,-0.3005134,17:29:38,Slow
0.64099306,0.03061676,-1.193084,-0.052534413,-0.28924468,-0.067500606,0.84553605,-9.724316,0.9792245,-23.2654,36.783,17.1532,-0.65748495,0.23382173,-0.29777855,17:29:38,Slow
0.34178066,-0.032162666,-0.64015245,-0.0071776668,-0.1656972,0.01695151,1.2306738,-9.674893,1.0573548,-22.5334,36.7586,18.3,-0.65920335,0.22578295,-0.29364598,17:29:38,Slow
-0.20130312,-0.18882465,-0.96127677,0.07803804,-0.54199016,-0.08017606,1.5566049,-9.574004,1.4668101,-23.0824,36.5024,18.8002,-0.6601838,0.21154954,-0.30985302,17:29:39,Slow
1.4302459,-0.385293,-1.4967753,-0.018784106,-0.01786781,-0.047036625,1.5904354,-9.446916,2.1124465,-23.1556,36.307198,19.0198,-0.65416616,0.1984352,-0.32221383,17:29:39,Slow
0.8472302,-0.6583452,-0.90476346,0.016187929,-0.12415836,0.035888333,1.8502538,-9.28973,2.5521717,-23.4728,36.3316,19.1052,-0.6431473,0.17553894,-0.33825037,17:29:39,Slow
0.88576806,0.59675884,-0.4951322,0.02855795,-0.02321288,0.014660766,2.2503726,-9.051763,3.0393314,-22.0942,36.478,19.788399,-0.63368404,0.13728768,-0.33764523,17:29:39,Slow
0.6939633,0.61884403,-0.37998486,0.19303341,-0.16417004,-0.08017606,2.4469013,-9.020104,2.9810245,-22.3748,36.4292,20.6668,-0.62829673,0.096802235,-0.32507384,17:29:39,Slow
0.7758205,0.51276875,-0.4365325,0.1826487,-0.5045747,-0.16890424,2.548404,-9.036205,2.8440688,-22.8384,36.2462,20.4594,-0.6296906,0.06290904,-0.2998672,17:29:39,Slow
0.61039686,0.037535667,-0.97294116,0.12522738,-0.13133603,-0.2049453,2.7962544,-8.937508,2.9219918,-23.6192,37.2222,19.7396,-0.6262691,0.0461655,-0.30162215,17:29:39,Slow
0.9378474,-0.17661572,-0.73665,0.07742717,-0.20754147,-0.31612277,2.492243,-8.844557,3.4349165,-22.8872,39.2962,15.7746,-0.6171861,0.056776963,-0.30557787,17:29:40,Slow
-0.1646626,-1.033864,0.12803912,0.3903429,-0.08506299,-0.05787948,1.8516366,-8.478855,4.5734644,-21.691599,40.5162,13.603,-0.6062974,0.05901765,-0.32045612,17:29:40,Slow
1.0648456,-0.46213436,-1.0148144,0.33368513,0.12003502,-0.124311075,1.4365425,-7.7354913,5.8595757,-21.618399,40.7724,11.1751995,-0.595449,0.036193065,-0.29152226,17:29:40,Slow
0.75480366,-1.0477657,-1.5377412,0.35338554,-0.23457226,-0.28527406,1.2028419,-7.0526805,6.711855,-20.3496,40.626,11.4436,-0.57394123,-0.015498355,-0.241699,17:29:40,Slow
1.2622306,-0.3754015,-1.1251163,0.21533,0.4100433,-0.23808473,1.1047932,-6.4160166,7.338274,-22.5212,39.4426,11.59,-0.54432404,-0.0862873,-0.13048251,17:29:40,Slow
0.682348,-0.5371375,-0.6550884,-0.11835514,-0.017104227,-0.082161374,1.0160553,-5.4874287,8.067953,-24.4854,39.0888,9.76,-0.50008446,-0.16865475,0.01488648,17:29:40,Slow
1.1962029,-0.86245346,-1.0399361,-0.103847094,0.027947085,-0.18967366,1.0545713,-4.588805,8.60621,-22.6554,42.0046,5.1484,-0.4174731,-0.26421395,0.25025225,17:29:40,Slow
0.5388738,-0.5332594,-1.2683992,0.07345655,0.19608775,-0.21105394,0.8095799,-4.6644826,8.592048,-19.1418,45.1888,-1.2444,-0.39206204,-0.23027162,0.24874055,17:29:41,Slow
0.41471124,-0.19695044,-0.5596714,0.43233988,0.4382958,0.25350907,0.8082459,-4.57418,8.640585,-15.359799,47.201797,-7.2102,-0.39321288,-0.17016214,0.14932945,17:29:41,Slow
0.7681528,-0.693974,-0.707777,0.98272943,0.016035212,0.48823404,0.7047529,-4.7867327,8.533852,-13.2126,47.458,-12.322,-0.391337,-0.11111035,0.059345778,17:29:41,Slow
0.032178044,-0.94332075,-0.15144348,1.0864239,-0.18616119,0.42164972,0.671966,-4.8693604,8.489635,-11.3216,46.543,-19.593199,-0.38154054,-0.08406427,-0.0012267291,17:29:41,Slow
0.7339375,-0.35655737,-0.7165828,0.7493789,-0.21975878,0.34009922,0.7595209,-4.8666344,8.483814,-11.0166,44.163998,-24.3268,-0.3710068,-0.06852573,-0.03765586,17:29:41,Slow
0.59921294,-0.57991457,-0.60567,0.74479747,-0.23640485,0.33368513,1.1268269,-4.7300806,8.520136,-9.2109995,44.163998,-24.607399,-0.36169562,-0.061383687,-0.085850015,17:29:41,Slow
0.9438869,-0.69195986,-0.52174664,0.852157,-0.026267206,0.029626964,1.3502431,-4.5290976,8.596524,-8.8572,44.347,-24.375599,-0.3508913,-0.06069436,-0.112277225,17:29:41,Slow
0.70632386,-0.6437249,-0.48254204,0.5581781,0.054825157,-0.032223143,1.4724648,-4.4891963,8.597388,-8.5644,44.871597,-23.9364,-0.33951202,-0.06352607,-0.13009903,17:29:42,Slow
